element_id,source,material_type,section_or_species,length_ft,reusable_length_ft,mass_kg,percent_reusable,embodied_carbon_savings_kgco2e
SHADE_ROOF__CABLE_0_4,B_cambridge_pavilion,Steel,#NotDesigned,,0.0,,,0.0
SHADE_BASE__BEM_0_4,B_cambridge_pavilion,Steel,W14X159,,36.63,2641.7990735829003,,3842.142
SHADE_BASE__COL_0_8,B_cambridge_pavilion,Steel,W6x12,,0.0,0.0,,0.0
SHADE_BASE__COL_0_3,B_cambridge_pavilion,Steel,W8x40,,10.417,189.00286873160002,,274.211
SHADE_ROOF__CABLE_0_8,B_cambridge_pavilion,Steel,#NotDesigned,,0.0,,,0.0
SHADE_PRIMARY__BEM_0_3,B_cambridge_pavilion,Steel,W8x31,,14.57,204.8740657579,,182.178
SHADE_BASE__COL_0_11,B_cambridge_pavilion,Steel,W6x12,,0.0,0.0,,0.0
SHADE_BASE__COL_0_4,B_cambridge_pavilion,Steel,W8x40,,10.417,189.00286873160002,,274.211
SHADE_ROOF__CABLE_0_7,B_cambridge_pavilion,Steel,#NotDesigned,,0.0,,,0.0
SHADE_ROOF__CABLE_0_10,B_cambridge_pavilion,Steel,#NotDesigned,,0.0,,,0.0
SHADE_BASE__BEM_0_1,B_cambridge_pavilion,Steel,W14X159,,0.0,0.0,,0.0
SHADE_ROOF__BEM_0_2,B_cambridge_pavilion,Steel,HSS4.5X.337,,14.863,,,146.649
SHADE_BASE__COL_0_9,B_cambridge_pavilion,Steel,W6x12,,0.0,0.0,,0.0
SHADE_BASE__BEM_0_3,B_cambridge_pavilion,Steel,W14X159,,36.63,2641.7990735829003,,3842.142
SHADE_ROOF__CABLE_0_2,B_cambridge_pavilion,Steel,#NotDesigned,,0.0,,,0.0
SHADE_BASE__COL_0_2,B_cambridge_pavilion,Steel,W8x40,,14.0,254.01172720000002,,368.539
SHADE_PRIMARY__BEM_0_2,B_cambridge_pavilion,Steel,W8x31,,34.611,486.6778510601699,,432.778
SHADE_BASE__COL_0_5,B_cambridge_pavilion,Steel,W6x12,,0.0,0.0,,0.0
SHADE_BASE__COL_0_6,B_cambridge_pavilion,Steel,W6x12,,0.0,0.0,,0.0
SHADE_BASE__COL_0_1,B_cambridge_pavilion,Steel,W8x40,,14.0,254.01172720000002,,368.539
SHADE_ROOF__CABLE_0_6,B_cambridge_pavilion,Steel,#NotDesigned,,0.0,,,0.0
SHADE_ROOF__CABLE_0_1,B_cambridge_pavilion,Steel,#NotDesigned,,0.0,,,0.0
SHADE_ROOF__BEM_0_1,B_cambridge_pavilion,Steel,HSS4.5X.337,,14.863,,,146.649
SHADE_ROOF__CABLE_0_3,B_cambridge_pavilion,Steel,#NotDesigned,,0.0,,,0.0
SHADE_ROOF__CABLE_0_9,B_cambridge_pavilion,Steel,#NotDesigned,,0.0,,,0.0
SHADE_BASE__COL_0_10,B_cambridge_pavilion,Steel,W6x12,,0.0,0.0,,0.0
SHADE_BASE__BEM_0_5,B_cambridge_pavilion,Steel,W14X159,,0.0,0.0,,0.0
SHADE_BASE__COL_0_7,B_cambridge_pavilion,Steel,W6x12,,0.0,0.0,,0.0
SHADE_BASE__BEM_0_6,B_cambridge_pavilion,Steel,W14X159,,0.0,0.0,,0.0
SHADE_PRIMARY__BEM_0_1,B_cambridge_pavilion,Steel,W8x31,,14.57,204.8740657579,,182.178
SHADE_ROOF__CABLE_0_5,B_cambridge_pavilion,Steel,#NotDesigned,,0.0,,,0.0
SHADE_BASE__BEM_0_2,B_cambridge_pavilion,Steel,W14X159,,0.0,0.0,,0.0
